stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
INTU,550.7899780273438,21.60303907824232,30.81295604970397,34.537190804187276,50.52369254310082,14.030507832129995,-208.2591970076731,101.3867615606764,-0.6385100856026009
UPS,206.5399932861328,4.99568651193286,6.931639341984402,8.010615597485781,10.47567149223139,3.0742654242931207,-21.111478485269544,21.791591782174322,-0.21820528699346878
HON,217.64999389648438,4.39895676729634,5.676011737109173,6.492743274423134,7.366231097730573,2.690007418053131,-9.878122771909602,10.129353808953283,0.011461741282469138
MS,98.87999725341797,2.854726165476947,3.660447461783336,4.146041082114479,4.793764196948701,1.7481405773943395,-7.037149047168711,6.179648102496287,-0.020648988373972586
MDT,108.55000305175781,2.3825950481620595,3.4539095415509817,3.874482682325251,5.659923053620248,1.6827155382217658,-11.450901817108061,10.783363384232189,0.20686273953315146
BMY,64.93000030517578,1.4199283428678626,3.1691009298097845,3.806570355906068,7.618427369083943,1.4936302786078628,-45.20499418645241,17.81485579261519,-0.051174598493053364
AMAT,167.0,7.55622381592525,10.349858136841048,11.73688309865804,15.457372018628876,4.906834509427589,-36.2255901526284,32.05535382062362,0.17563585451923655
ORCL,87.69000244140625,2.1940675253294017,4.309557664476838,4.518287618531957,9.968315386806509,2.3214170063372452,-75.07405454674911,54.435027536716774,-0.17948762309178906
SCHW,95.52999877929688,2.8411287885012797,3.992843355207661,4.425638335893282,6.090264187578327,1.7026585338722748,-12.979782594655845,7.528403516006691,-0.16155093735598205
CVS,105.6552734375,2.2113547598889767,4.13691724525021,4.527817604476738,8.967261881956343,1.8728183435259842,-44.64122310966238,24.16881623157559,-0.07558559137812212
RTX,92.33000183105469,2.1645316126982124,2.896699096563069,3.3557591886035993,4.204443645148436,1.323944874118247,-7.871288034479633,6.299509777534837,-0.05901826669099302
C,66.93000030517578,1.5841790115252934,2.166859883389628,2.5056497736319727,3.191360622717929,0.974109417990062,-6.351402343116142,4.5952950380131625,-0.03189607697205567
GS,380.94000244140625,10.315082842736274,13.07682627014822,14.51910056199739,17.581633354621236,6.227921300903254,-27.792297707043133,22.38966560950638,-0.0712852056533381
AMGN,235.36000061035156,3.899581683676132,4.866979328457058,5.452572600690104,6.259756843776341,2.406667074659756,-7.93221186564719,7.85638775425403,0.028094264114559467
